Regno Lact DIM no_test Ageday milk htd milk.1 fat pro L1 L2 L3 L4 L5 L6
4102510 1 185 3 684 32 352213879 32 1.75 0.95 0.707 0.247 -0.694 -0.527 0.779 0.724
1464774 1 299 3 1276 20.2 120313913 20.2 1.07 0.7 0.707 1.184 1.425 1.51 8.149 1.297
1284109 1 193 3 1116 36.4 102313875 36.4 1.24 1.15 0.707 0.312 -0.636 -0.638 0.783 0.801
1523882 1 118 3 823 42.4 102813933 42.4 1.13 1.23 0.707 -0.304 -0.644 0.625 0.782 -0.795
4180715 1 204 3 900 35 354313924 35 1.3 0.81 0.707 0.403 -0.534 -0.757 0.818 0.787
1489618 1 196 3 881 40.2 120813916 40.2 1.38 1.32 0.707 0.337 -0.611 -0.675 0.788 0.812
4083747 1 163 3 921 22.8 176138611 22.8 0.85 0.8 0.707 0.066 -0.784 -0.15 0.793 0.233
4116176 1 264 3 1033 29.6 3527138811 29.6 0.96 0.9 0.707 0.896 0.479 -0.222 3.028 -0.947
3118493 1 251 3 928 30 220913893 30 1.08 1.02 0.707 0.789 0.194 -0.557 2.065 -0.605
8417519 1 256 3 1010 40.5 1850913941 40.5 1.14 1.4 0.707 0.83 0.299 -0.445 2.389 -0.768
4183530 1 207 3 999 33.2 357913927 33.2 0.97 1.05 0.707 0.427 -0.502 -0.781 0.836 0.758
9714070 1 85 3 836 39 313934 39 0.78 1.19 0.707 -0.575 -0.267 0.833 1.072 -0.361
2055778 1 297 3 978 37.4 10139010 37.4 0.94 1.51 0.707 1.167 1.363 1.374 7.729 0.948
9360322 1 118 3 850 26 2713866 26 0.78 0 0.707 -0.304 -0.644 0.625 0.782 -0.795
5005983 1 102 3 933 34 15413874 34 0 0 0.707 -0.436 -0.491 0.788 0.843 -0.746
4199333 1 53 3 866 29.2 357913926 29.2 0.64 0.84 0.707 -0.838 0.321 0.421 2.461 0.796
6019919 1 205 3 1090 30 18413884 30 0.85 0.91 0.707 0.411 -0.524 -0.765 0.824 0.779
1491978 1 112 3 790 29.2 110313901 29.2 1.01 0.93 0.707 -0.353 -0.593 0.697 0.794 -0.813
1411490 1 121 3 859 43.3 130413892 43.3 0.99 0.92 0.707 -0.279 -0.667 0.585 0.779 -0.771
1391484 1 169 3 882 23.01 123413892 23.01 0 0 0.707 0.115 -0.77 -0.26 0.789 0.396
1601405 1 235 3 1030 19.4 138313939 19.4 0.72 0.68 0.707 0.658 -0.107 -0.783 1.337 0.009
1562706 1 268 3 976 28 313934 28 0.82 0.8 0.707 0.929 0.573 -0.088 3.408 -0.983
4102331 1 197 3 906 46.8 356913882 46.8 0.85 1.32 0.707 0.345 -0.602 -0.686 0.791 0.813
2064423 1 93 3 779 34.4 10139311 34.4 1.26 1.15 0.707 -0.51 -0.38 0.831 0.936 -0.582
4171807 1 145 3 886 36.2 352213927 36.2 0.71 1.01 0.707 -0.082 -0.78 0.187 0.792 -0.289
4093109 1 123 3 963 46 352313878 46 0.88 1.49 0.707 -0.263 -0.681 0.556 0.779 -0.75
1445950 1 252 3 1160 36 140213911 36 1.2 1.2 0.707 0.797 0.215 -0.536 2.125 -0.639
3161935 1 15 3 693 18.4 210813927 18.4 0.46 0.46 0.707 -1.151 1.303 -1.243 7.327 -0.635
1560008 1 143 3 896 47.6 1037139310 47.6 1.7 1.8 0.707 -0.099 -0.775 0.224 0.791 -0.343
8607138 1 119 3 935 31 2100413866 31 0.81 0 0.707 -0.296 -0.652 0.612 0.781 -0.788
1544287 1 19 3 841 34 123413927 34 1.32 1.11 0.707 -1.118 1.185 -0.995 6.574 -0.109
4102407 1 22 3 809 32.6 3572138711 32.6 1 0.83 0.707 -1.093 1.099 -0.822 6.053 0.204
1298794 1 153 3 854 26.8 100813862 26.8 1.04 0.83 0.707 -0.016 -0.79 0.038 0.795 -0.059
4206699 1 28 3 741 31.2 3527139312 31.2 0.63 0.93 0.707 -1.044 0.932 -0.504 5.116 0.651
7409506 1 302 3 1030 37.6 13015138711 37.6 1.34 1.36 0.707 1.208 1.518 1.723 8.814 1.895
4138589 1 255 3 935 36.8 355513914 36.8 1.59 1.03 0.707 0.822 0.278 -0.469 2.32 -0.737
4194414 1 250 3 1043 31 360013937 31 1.17 1 0.707 0.781 0.174 -0.577 2.006 -0.569
9408098 1 107 3 821 27.4 2801013887 27.4 1.23 0.9 0.707 -0.395 -0.544 0.748 0.813 -0.795
1525026 1 168 3 979 28 100913937 28 0.82 0.99 0.707 0.107 -0.773 -0.242 0.79 0.37
1436639 1 220 3 982 18 105213913 18 0.62 0.65 0.707 0.534 -0.339 -0.836 0.98 0.506
4084418 1 221 3 1027 33 357313864 33 1.29 0.9 0.707 0.542 -0.325 -0.837 0.997 0.479
4141422 1 61 3 810 42.8 352313899 42.8 1.55 1.35 0.707 -0.773 0.153 0.596 1.949 0.533
1412032 1 154 3 811 24.2 130413893 24.2 0.83 0.6 0.707 -0.008 -0.79 0.019 0.795 -0.03
4088423 1 223 3 920 26.2 355513877 26.2 0.87 0.8 0.707 0.559 -0.297 -0.836 1.032 0.422
4100458 1 120 3 1025 37 352213885 37 1.84 0.92 0.707 -0.288 -0.66 0.599 0.78 -0.78
1541438 1 81 3 1143 34.6 138313921 34.6 0.92 1.05 0.707 -0.608 -0.206 0.821 1.164 -0.228
6025130 1 243 3 1005 41.6 19813909 41.6 1.26 1.62 0.707 0.723 0.037 -0.694 1.647 -0.303
4173062 1 201 3 935 13 3600139112 13 0.68 0.39 0.707 0.378 -0.565 -0.729 0.804 0.806
7828268 1 274 3 972 30.5 20113898 30.5 1.16 0.97 0.707 0.978 0.722 0.141 4.064 -0.941
4189432 1 244 3 925 29 352213939 29 0.73 0.88 0.707 0.732 0.056 -0.679 1.693 -0.342
1491368 1 64 3 808 38.1 110813922 38.1 1.05 1.08 0.707 -0.748 0.094 0.648 1.79 0.42
5022970 1 45 3 738 31 15413906 31 0 0 0.707 -0.904 0.502 0.19 3.119 0.96
1539978 1 196 3 1108 27 143813923 27 0.71 0.83 0.707 0.337 -0.611 -0.675 0.788 0.812
2059246 1 159 3 920 27.5 27139012 27.5 0.99 0 0.707 0.033 -0.789 -0.075 0.795 0.118
3160461 1 105 3 878 39.6 2513933 39.6 1.39 1.22 0.707 -0.411 -0.524 0.765 0.824 -0.779
1301130 1 233 3 982 29 1136138511 29 0 0 0.707 0.641 -0.141 -0.798 1.274 0.084
1302814 1 56 3 772 23.4 13213866 23.4 0.85 0.78 0.707 -0.814 0.256 0.493 2.253 0.706
5628504 1 142 3 932 32.5 706013896 32.5 0 0 0.707 -0.107 -0.773 0.242 0.79 -0.37
3133248 1 83 3 796 37.2 218713907 37.2 0.93 1.19 0.707 -0.592 -0.237 0.828 1.116 -0.296
